url,full_title,title,numeric_title,effect,category,is_harmful
https://calorizator.ru/addon/e1xx/e173,E173 Алюминий,алюминий,E173,Нет данных,E1xx Красители,0
https://calorizator.ru/addon/e1xx/e174,E174 Серебро,серебро,E174,Нет данных,E1xx Красители,0
https://calorizator.ru/addon/e1xx/e175,E175 Золото,золото,E175,Нет данных,E1xx Красители,0
https://calorizator.ru/addon/e1xx/e180,E180 Рубиновый литол ВК,рубиновый литол вк,E180,Опасные для здоровья,E1xx Красители,1
https://calorizator.ru/addon/e1xx/e181,E181 Таннин,таннин,E181,Нет данных,E1xx Красители,0
https://calorizator.ru/addon/e1xx/e182,"E182 Орсель, орсеин","орсель, орсеин",E182,Не для пищевых продуктов,E1xx Красители,0
https://calorizator.ru/addon/e2xx/e200,E200 Сорбиновая кислота,сорбиновая кислота,E200,Нет данных,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e201,E201 Сорбат натрия,сорбат натрия,E201,Нет данных,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e202,E202 Сорбат калия,сорбат калия,E202,Нет данных,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e203,E203 Сорбат кальция,сорбат кальция,E203,Нет данных,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e209,E209 Пара-гидроксибензойной кислоты гептиловый эфир,пара-гидроксибензойной кислоты гептиловый эфир,E209,Не для пищевых продуктов,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e210,E210 Бензойная кислота,бензойная кислота,E210,Канцерогенный эффект (вызывает рак),E2xx Консерванты,1
https://calorizator.ru/addon/e2xx/e211,E211 Бензоат натрия,бензоат натрия,E211,Канцерогенный эффект (вызывает рак),E2xx Консерванты,1
https://calorizator.ru/addon/e2xx/e212,E212 Бензоат калия,бензоат калия,E212,Канцерогенный эффект (вызывает рак),E2xx Консерванты,1
https://calorizator.ru/addon/e2xx/e213,E213 Бензоат кальция,бензоат кальция,E213,Канцерогенный эффект (вызывает рак),E2xx Консерванты,1
